System,SysCenterName,TARGETID_A,CoordUqName_A,RA_A,DEC_A,RA_A_sexa,DEC_A_sexa,Z_A,ZERR_A,ZWARN_A,mag_g_A,mag_r_A,mag_z_A,mag_W1_A,mag_W2_A,flux_g_A,flux_r_A,flux_z_A,flux_W1_A,flux_W2_A,flux_ivar_g_A,flux_ivar_r_A,flux_ivar_z_A,flux_ivar_W1_A,flux_ivar_W2_A,MORPHTYPE_A,SPECTYPE_A,LASTNIGHT_A,TARGETID_B,CoordUqName_B,RA_B,DEC_B,RA_B_sexa,DEC_B_sexa,Z_B,ZERR_B,ZWARN_B,mag_g_B,mag_r_B,mag_z_B,mag_W1_B,mag_W2_B,flux_g_B,flux_r_B,flux_z_B,flux_W1_B,flux_W2_B,flux_ivar_g_B,flux_ivar_r_B,flux_ivar_z_B,flux_ivar_W1_B,flux_ivar_W2_B,MORPHTYPE_B,SPECTYPE_B,LASTNIGHT_B,sep_AB,110kpc_seplim_zA,110kpc_seplim_zB,delta_vr,rp_zA,rp_zB,match_type,match_cite,visual_class
J0007+0758,J000722.884+075827.413,39627977570387427,J000723+075827,1.845415337,7.974088746,00 07 22.900,+07 58 26.719,1.225900333,6.91e-05,0,23.2574,22.825308,21.92107,20.50338,19.720741,0.49778312,0.7410995,1.7044029,6.289968,12.93313,1487.0049,546.7413,129.9521,2.4277625,0.5336035,PSF,GALAXY,20211030,39627977570387423,J000723+075828,1.845287164,7.974474268,00 07 22.869,+07 58 28.107,1.225441276,0.000223004,0,20.545416,19.961761,19.769815,18.396456,18.013899,6.0510883,10.358466,12.36157,43.794323,62.29315,1020.30145,359.8081,120.17558,2.3693397,0.5255665,PSF,QSO,20211106,1.46117095,13.22351816,13.22419152,61.83386298,12.1547687,12.15414979,New Discovery,,QPC
J0012+0900,J001214.315+090030.033,39628001515667942,J001214+090029,3.058621974,9.008017874,00 12 14.069,+09 00 28.864,0.903021181,8.42e-05,0,20.98089,20.727942,20.19447,18.417746,17.895214,4.0517645,5.1147375,8.360118,42.943947,69.488716,1543.9297,557.6087,109.98861,2.3350446,0.5395982,PSF,QSO,20211030,39628001515667974,J001215+090031,3.060667803,9.008667179,00 12 14.560,+09 00 31.202,0.902547319,0.000172464,0,23.200071,22.55518,21.648518,20.095201,20.416512,0.52477336,0.950447,2.1907494,9.160507,6.8138943,2425.859,772.2025,115.15596,2.955594,0.633158,PSF,QSO,20211128,7.640489036,14.10520777,14.10731829,74.65927088,59.58464479,59.57573066,New Discovery,,LQC
J0013+2258,J001329.768+225848.711,39628326473566746,J001330+225845,3.373318096,22.97924926,00 13 29.596,+22 58 45.297,1.91800486,0.000842428,0,23.453035,23.0432,22.65671,19.892096,19.466484,0.41570532,0.60634536,0.8655984,11.044909,16.34582,2057.6667,641.23193,128.80972,3.1970692,0.6866097,PSF,QSO,20211104,39628326473566780,J001330+225852,3.374749383,22.9811455,00 13 29.940,+22 58 52.124,1.913397977,0.000368978,0,20.886118,20.672277,20.102665,19.256704,18.760935,4.421328,5.3838,9.097753,19.82981,31.305895,1346.9717,515.6477,118.23521,2.8888164,0.63417494,PSF,QSO,20211111,8.312839015,13.08643706,13.08366467,473.679731,69.87480915,69.88961543,New Discovery,,QP
J0017+1104,J001754.022+110427.720,39628049183934740,J001754+110431,4.474852228,11.07522193,00 17 53.965,+11 04 30.799,1.713564043,0.002406195,0,23.400703,22.549925,21.810099,19.36381,19.085821,0.43623334,0.95505816,1.8878192,17.967037,23.2098,2314.0168,495.33002,117.81418,2.5153668,0.59216833,PSF,QSO,20211102,39628049183934748,J001754+110425,4.475335147,11.07351161,00 17 54.080,+11 04 24.642,1.707503863,0.001142528,2,22.675083,22.410069,21.953619,20.573029,20.406843,0.851073,1.086358,1.6540637,5.8991375,6.8748426,2151.5312,485.09384,117.38451,2.9149048,0.64574546,PSF,QSO,20211129,6.389145357,12.99709487,12.99562936,670.2723739,54.07408325,54.08018112,New Discovery,,QP
J0018+0256,J001811.461+025640.322,39627857281943073,J001811+025640,4.547455221,2.944473955,00 18 11.389,+02 56 40.106,2.46372599,0.000187588,0,19.478827,19.539766,19.152323,19.229082,18.871244,16.161036,15.278962,21.830862,20.340755,28.281475,684.3885,904.4874,225.072,2.5289705,0.5313336,PSF,QSO,20211007,39627857281943090,J001812+025641,4.54805112,2.944593753,00 18 11.532,+02 56 40.538,2.477789264,0.000529998,0,22.482798,22.367891,22.066643,19.737116,19.509672,1.0159707,1.1293887,1.4905382,12.739536,15.708362,1750.0549,1975.805,295.44812,2.576271,0.53733283,PSF,QSO,20211010,2.185381034,13.58484401,13.60108829,1214.738644,17.69559619,17.67446169,Dual AGN Candidate,BigMAC,QP
J0018+0651,J001829.783+065150.683,39627947627251846,J001830+065153,4.62524573,6.864760754,00 18 30.059,+06 51 53.139,2.222266992,0.000145414,0,19.65435,19.569197,19.202625,19.19082,18.784468,13.7486515,14.870362,20.842491,21.070356,30.634674,572.1603,261.82578,89.36969,2.6543927,0.5769451,PSF,QSO,20211013,39627947627251802,J001830+065148,4.622944213,6.863396301,00 18 29.507,+06 51 48.227,2.229160024,0.000870858,0,22.47061,22.451136,22.038094,21.700642,21.237827,1.0274397,1.046033,1.5302494,2.0880635,3.19793,1280.756,439.21216,106.57888,2.3356376,0.5794505,PSF,QSO,20211127,9.581042826,13.32875302,13.33539537,640.6269487,79.07076601,79.03138098,New Discovery,,LQC
J0019+0130,J001947.216+013003.509,39627821047355882,J001947+013004,4.946580844,1.50098153,00 19 47.179,+01 30 03.534,2.704575193,0.000213048,0,20.994553,20.6939,20.454128,19.869747,19.655275,4.0010924,5.277645,6.581865,11.274604,13.736924,2173.718,1701.0043,298.54868,2.8015468,0.5772285,PSF,QSO,20211001,39627821047355891,J001947+013003,4.946889281,1.500968001,00 19 47.253,+01 30 03.485,2.704258305,0.000604337,0,23.067423,22.769085,22.73126,21.81955,20.58946,0.5929671,0.78048784,0.808157,1.8714579,5.8105354,2729.1008,2317.1375,332.34705,2.7932465,0.5746604,PSF,QSO,20211006,1.111062076,13.879445,13.87903655,25.64522186,8.805599102,8.805858249,Lensed Quasar Candidate,SLED,QPC
J0020+0626,J002031.359+062651.186,39627941629396988,J002031+062655,5.130619889,6.448619967,00 20 31.349,+06 26 55.032,1.759481961,0.001657792,0,22.015888,21.824818,21.520647,20.209389,19.824833,1.561869,1.8623986,2.4645708,8.246027,11.75078,1457.0973,633.85583,90.19723,2.9082263,0.6321176,PSF,QSO,20211106,39627941629396991,J002031+062647,5.130707738,6.4464831,00 20 31.370,+06 26 47.339,1.7541247,0.001021609,0,21.6206,21.42981,21.125368,19.468515,19.005342,2.2478108,2.6796386,3.5469294,16.31525,24.995567,1356.297,595.3807,86.97067,2.7185245,0.5843953,PSF,QSO,20211127,7.69913735,13.01061714,13.00882534,582.5829133,65.09338487,65.10235065,New Discovery,,LQC
J0023+0914,J002351.733+091403.177,39628007534496207,J002352+091404,5.965780765,9.234506648,00 23 51.787,+09 14 04.224,1.889373128,0.001031676,0,21.1059,21.242727,20.61799,20.038206,19.516577,3.6111028,3.18353,5.659832,9.654233,15.608779,1486.2236,632.9082,119.49979,2.851981,0.61506236,PSF,QSO,20211102,39628007534496196,J002352+091402,5.965328938,9.23392486,00 23 51.679,+09 14 02.129,1.892591713,0.00106958,0,22.460299,21.879717,21.232958,19.76188,19.47012,1.037243,1.7705691,3.2123075,12.452242,16.291182,2143.4148,708.98456,123.03726,2.820369,0.6161244,PSF,QSO,20211127,2.6389945,13.06971946,13.07153707,333.7645113,22.21083598,22.20774754,New Discovery,,QP
J0024-0128,J002424.050-012826.726,39627748590751298,J002424-012826,6.100904157,-1.473833863,00 24 24.217,-01 28 25.802,2.054334306,9.71e-05,0,18.581163,18.498367,18.306374,18.279999,17.765451,36.94323,39.870647,47.582897,48.752945,78.310356,570.7829,613.229,177.97612,2.119996,0.46336302,PSF,QSO,20211002,39627748590751252,J002424-012828,6.099511321,-1.474347499,00 24 23.883,-01 28 27.651,2.048852134,0.000106227,0,18.733135,18.652918,18.482172,18.315752,17.807793,32.117832,34.58062,40.46982,47.173634,75.31522,630.0967,681.65533,143.57332,2.121645,0.46880785,PSF,QSO,20211005,5.342732164,13.18161333,13.17732928,538.5757418,44.58487164,44.59936651,New Discovery,,QP
