System,SysCenterName,TARGETID_A,CoordUqName_A,RA_A,DEC_A,RA_A_sexa,DEC_A_sexa,Z_A,ZERR_A,ZWARN_A,mag_g_A,mag_r_A,mag_z_A,mag_W1_A,mag_W2_A,flux_g_A,flux_r_A,flux_z_A,flux_W1_A,flux_W2_A,flux_ivar_g_A,flux_ivar_r_A,flux_ivar_z_A,flux_ivar_W1_A,flux_ivar_W2_A,MORPHTYPE_A,SPECTYPE_A,LASTNIGHT_A,TARGETID_B,CoordUqName_B,RA_B,DEC_B,RA_B_sexa,DEC_B_sexa,Z_B,ZERR_B,ZWARN_B,mag_g_B,mag_r_B,mag_z_B,mag_W1_B,mag_W2_B,flux_g_B,flux_r_B,flux_z_B,flux_W1_B,flux_W2_B,flux_ivar_g_B,flux_ivar_r_B,flux_ivar_z_B,flux_ivar_W1_B,flux_ivar_W2_B,MORPHTYPE_B,SPECTYPE_B,LASTNIGHT_B,sep_AB,110kpc_seplim_zA,110kpc_seplim_zB,delta_vr,rp_zA,rp_zB,match_type,match_cite,visual_class
J0007+0758,J000722.884+075827.413,39627977570387427,J000723+075827,1.84542,7.97409,00 07 22.900,+07 58 26.719,1.2259,7e-05,0,23.257,22.825,21.921,20.503,19.721,0.498,0.741,1.704,6.29,12.933,1487.005,546.741,129.952,2.428,0.534,PSF,GALAXY,20211030,39627977570387423,J000723+075828,1.84529,7.97447,00 07 22.869,+07 58 28.107,1.22544,0.00022,0,20.545,19.962,19.77,18.396,18.014,6.051,10.358,12.362,43.794,62.293,1020.301,359.808,120.176,2.369,0.526,PSF,QSO,20211106,1.461,13.224,13.224,61.834,12.155,12.154,New Discovery,,QPC
J0012+0900,J001214.315+090030.033,39628001515667942,J001214+090029,3.05862,9.00802,00 12 14.069,+09 00 28.864,0.90302,8e-05,0,20.981,20.728,20.194,18.418,17.895,4.052,5.115,8.36,42.944,69.489,1543.93,557.609,109.989,2.335,0.54,PSF,QSO,20211030,39628001515667974,J001215+090031,3.06067,9.00867,00 12 14.560,+09 00 31.202,0.90255,0.00017,0,23.2,22.555,21.649,20.095,20.417,0.525,0.95,2.191,9.161,6.814,2425.859,772.202,115.156,2.956,0.633,PSF,QSO,20211128,7.64,14.105,14.107,74.659,59.585,59.576,New Discovery,,LQC
J0013+2258,J001329.768+225848.711,39628326473566746,J001330+225845,3.37332,22.97925,00 13 29.596,+22 58 45.297,1.918,0.00084,0,23.453,23.043,22.657,19.892,19.466,0.416,0.606,0.866,11.045,16.346,2057.667,641.232,128.81,3.197,0.687,PSF,QSO,20211104,39628326473566780,J001330+225852,3.37475,22.98115,00 13 29.940,+22 58 52.124,1.9134,0.00037,0,20.886,20.672,20.103,19.257,18.761,4.421,5.384,9.098,19.83,31.306,1346.972,515.648,118.235,2.889,0.634,PSF,QSO,20211111,8.313,13.086,13.084,473.68,69.875,69.89,New Discovery,,QP
J0017+1104,J001754.022+110427.720,39628049183934740,J001754+110431,4.47485,11.07522,00 17 53.965,+11 04 30.799,1.71356,0.00241,0,23.401,22.55,21.81,19.364,19.086,0.436,0.955,1.888,17.967,23.21,2314.017,495.33,117.814,2.515,0.592,PSF,QSO,20211102,39628049183934748,J001754+110425,4.47534,11.07351,00 17 54.080,+11 04 24.642,1.7075,0.00114,2,22.675,22.41,21.954,20.573,20.407,0.851,1.086,1.654,5.899,6.875,2151.531,485.094,117.385,2.915,0.646,PSF,QSO,20211129,6.389,12.997,12.996,670.272,54.074,54.08,New Discovery,,QP
J0018+0256,J001811.461+025640.322,39627857281943073,J001811+025640,4.54746,2.94447,00 18 11.389,+02 56 40.106,2.46373,0.00019,0,19.479,19.54,19.152,19.229,18.871,16.161,15.279,21.831,20.341,28.281,684.388,904.487,225.072,2.529,0.531,PSF,QSO,20211007,39627857281943090,J001812+025641,4.54805,2.94459,00 18 11.532,+02 56 40.538,2.47779,0.00053,0,22.483,22.368,22.067,19.737,19.51,1.016,1.129,1.491,12.74,15.708,1750.055,1975.805,295.448,2.576,0.537,PSF,QSO,20211010,2.185,13.585,13.601,1214.739,17.696,17.674,Dual AGN Candidate,BigMAC,QP
J0018+0651,J001829.783+065150.683,39627947627251846,J001830+065153,4.62525,6.86476,00 18 30.059,+06 51 53.139,2.22227,0.00015,0,19.654,19.569,19.203,19.191,18.784,13.749,14.87,20.842,21.07,30.635,572.16,261.826,89.37,2.654,0.577,PSF,QSO,20211013,39627947627251802,J001830+065148,4.62294,6.8634,00 18 29.507,+06 51 48.227,2.22916,0.00087,0,22.471,22.451,22.038,21.701,21.238,1.027,1.046,1.53,2.088,3.198,1280.756,439.212,106.579,2.336,0.579,PSF,QSO,20211127,9.581,13.329,13.335,640.627,79.071,79.031,New Discovery,,LQC
J0019+0130,J001947.216+013003.509,39627821047355882,J001947+013004,4.94658,1.50098,00 19 47.179,+01 30 03.534,2.70458,0.00021,0,20.995,20.694,20.454,19.87,19.655,4.001,5.278,6.582,11.275,13.737,2173.718,1701.004,298.549,2.802,0.577,PSF,QSO,20211001,39627821047355891,J001947+013003,4.94689,1.50097,00 19 47.253,+01 30 03.485,2.70426,0.0006,0,23.067,22.769,22.731,21.82,20.589,0.593,0.78,0.808,1.871,5.811,2729.101,2317.138,332.347,2.793,0.575,PSF,QSO,20211006,1.111,13.879,13.879,25.645,8.806,8.806,Lensed Quasar Candidate,SLED,QPC
J0020+0626,J002031.359+062651.186,39627941629396988,J002031+062655,5.13062,6.44862,00 20 31.349,+06 26 55.032,1.75948,0.00166,0,22.016,21.825,21.521,20.209,19.825,1.562,1.862,2.465,8.246,11.751,1457.097,633.856,90.197,2.908,0.632,PSF,QSO,20211106,39627941629396991,J002031+062647,5.13071,6.44648,00 20 31.370,+06 26 47.339,1.75412,0.00102,0,21.621,21.43,21.125,19.469,19.005,2.248,2.68,3.547,16.315,24.996,1356.297,595.381,86.971,2.719,0.584,PSF,QSO,20211127,7.699,13.011,13.009,582.583,65.093,65.102,New Discovery,,LQC
J0023+0914,J002351.733+091403.177,39628007534496207,J002352+091404,5.96578,9.23451,00 23 51.787,+09 14 04.224,1.88937,0.00103,0,21.106,21.243,20.618,20.038,19.517,3.611,3.184,5.66,9.654,15.609,1486.224,632.908,119.5,2.852,0.615,PSF,QSO,20211102,39628007534496196,J002352+091402,5.96533,9.23392,00 23 51.679,+09 14 02.129,1.89259,0.00107,0,22.46,21.88,21.233,19.762,19.47,1.037,1.771,3.212,12.452,16.291,2143.415,708.985,123.037,2.82,0.616,PSF,QSO,20211127,2.639,13.07,13.072,333.765,22.211,22.208,New Discovery,,QP
J0024-0128,J002424.050-012826.726,39627748590751298,J002424-012826,6.1009,-1.47383,00 24 24.217,-01 28 25.802,2.05433,0.0001,0,18.581,18.498,18.306,18.28,17.765,36.943,39.871,47.583,48.753,78.31,570.783,613.229,177.976,2.12,0.463,PSF,QSO,20211002,39627748590751252,J002424-012828,6.09951,-1.47435,00 24 23.883,-01 28 27.651,2.04885,0.00011,0,18.733,18.653,18.482,18.316,17.808,32.118,34.581,40.47,47.174,75.315,630.097,681.655,143.573,2.122,0.469,PSF,QSO,20211005,5.343,13.182,13.177,538.576,44.585,44.599,New Discovery,,QP
